ROI,X,Y,Z,Community
1,-25,-98,-12,Uncertain
2,27,-97,-13,Uncertain
3,24,32,-18,Uncertain
4,-56,-45,-24,Uncertain
5,8,41,-24,Uncertain
6,-21,-22,-20,Uncertain
7,17,-28,-17,Uncertain
8,-37,-29,-26,Uncertain
9,65,-24,-19,Uncertain
10,52,-34,-27,Uncertain
11,55,-31,-17,Uncertain
12,34,38,-12,Uncertain
13,-7,-52,61,Sensory/somatomotor Hand
14,-14,-18,40,Sensory/somatomotor Hand
15,0,-15,47,Sensory/somatomotor Hand
16,10,-2,45,Sensory/somatomotor Hand
17,-7,-21,65,Sensory/somatomotor Hand
18,-7,-33,72,Sensory/somatomotor Hand
19,13,-33,75,Sensory/somatomotor Hand
20,-54,-23,43,Sensory/somatomotor Hand
21,29,-17,71,Sensory/somatomotor Hand
22,10,-46,73,Sensory/somatomotor Hand
23,-23,-30,72,Sensory/somatomotor Hand
24,-40,-19,54,Sensory/somatomotor Hand
25,29,-39,59,Sensory/somatomotor Hand
26,50,-20,42,Sensory/somatomotor Hand
27,-38,-27,69,Sensory/somatomotor Hand
28,20,-29,60,Sensory/somatomotor Hand
29,44,-8,57,Sensory/somatomotor Hand
30,-29,-43,61,Sensory/somatomotor Hand
31,10,-17,74,Sensory/somatomotor Hand
32,22,-42,69,Sensory/somatomotor Hand
33,-45,-32,47,Sensory/somatomotor Hand
34,-21,-31,61,Sensory/somatomotor Hand
35,-13,-17,75,Sensory/somatomotor Hand
36,42,-20,55,Sensory/somatomotor Hand
37,-38,-15,69,Sensory/somatomotor Hand
38,-16,-46,73,Sensory/somatomotor Hand
39,2,-28,60,Sensory/somatomotor Hand
40,3,-17,58,Sensory/somatomotor Hand
41,38,-17,45,Sensory/somatomotor Hand
42,-49,-11,35,Sensory/somatomotor Mouth
43,36,-9,14,Sensory/somatomotor Mouth
44,51,-6,32,Sensory/somatomotor Mouth
45,-53,-10,24,Sensory/somatomotor Mouth
46,66,-8,25,Sensory/somatomotor Mouth
47,-3,2,53,Cingulo-opercular Task Control
48,54,-28,34,Cingulo-opercular Task Control
49,19,-8,64,Cingulo-opercular Task Control
50,-16,-5,71,Cingulo-opercular Task Control
51,-10,-2,42,Cingulo-opercular Task Control
52,37,1,-4,Cingulo-opercular Task Control
53,13,-1,70,Cingulo-opercular Task Control
54,7,8,51,Cingulo-opercular Task Control
55,-45,0,9,Cingulo-opercular Task Control
56,49,8,-1,Cingulo-opercular Task Control
57,-34,3,4,Cingulo-opercular Task Control
58,-51,8,-2,Cingulo-opercular Task Control
59,-5,18,34,Cingulo-opercular Task Control
60,36,10,1,Cingulo-opercular Task Control
61,32,-26,13,Auditory
62,65,-33,20,Auditory
63,58,-16,7,Auditory
64,-38,-33,17,Auditory
65,-60,-25,14,Auditory
66,-49,-26,5,Auditory
67,43,-23,20,Auditory
68,-50,-34,26,Auditory
69,-53,-22,23,Auditory
70,-55,-9,12,Auditory
71,56,-5,13,Auditory
72,59,-17,29,Auditory
73,-30,-27,12,Auditory
74,-41,-75,26,Default mode
75,6,67,-4,Default mode
76,8,48,-15,Default mode
77,-13,-40,1,Default mode
78,-18,63,-9,Default mode
79,-46,-61,21,Default mode
80,43,-72,28,Default mode
81,-44,12,-34,Default mode
82,46,16,-30,Default mode
83,-68,-23,-16,Default mode
84,-58,-26,-15,Uncertain
85,27,16,-17,Uncertain
86,-44,-65,35,Default mode
87,-39,-75,44,Default mode
88,-7,-55,27,Default mode
89,6,-59,35,Default mode
90,-11,-56,16,Default mode
91,-3,-49,13,Default mode
92,8,-48,31,Default mode
93,15,-63,26,Default mode
94,-2,-37,44,Default mode
95,11,-54,17,Default mode
96,52,-59,36,Default mode
97,23,33,48,Default mode
98,-10,39,52,Default mode
99,-16,29,53,Default mode
100,-35,20,51,Default mode
101,22,39,39,Default mode
102,13,55,38,Default mode
103,-10,55,39,Default mode
104,-20,45,39,Default mode
105,6,54,16,Default mode
106,6,64,22,Default mode
107,-7,51,-1,Default mode
108,9,54,3,Default mode
109,-3,44,-9,Default mode
110,8,42,-5,Default mode
111,-11,45,8,Default mode
112,-2,38,36,Default mode
113,-3,42,16,Default mode
114,-20,64,19,Default mode
115,-8,48,23,Default mode
116,65,-12,-19,Default mode
117,-56,-13,-10,Default mode
118,-58,-30,-4,Default mode
119,65,-31,-9,Default mode
120,-68,-41,-5,Default mode
121,13,30,59,Default mode
122,12,36,20,Default mode
123,52,-2,-16,Default mode
124,-26,-40,-8,Default mode
125,27,-37,-13,Default mode
126,-34,-38,-16,Default mode
127,28,-77,-32,Default mode
128,52,7,-30,Default mode
129,-53,3,-27,Default mode
130,47,-50,29,Default mode
131,-49,-42,1,Default mode
132,-31,19,-19,Uncertain
133,-2,-35,31,Memory retrieval?
134,-7,-71,42,Memory retrieval?
135,11,-66,42,Memory retrieval?
136,4,-48,51,Memory retrieval?
137,-46,31,-13,Default mode
138,-10,11,67,Ventral attention
139,49,35,-12,Default mode
140,8,-91,-7,Uncertain
141,17,-91,-14,Uncertain
142,-12,-95,-13,Uncertain
143,18,-47,-10,Visual
144,40,-72,14,Visual
145,8,-72,11,Visual
146,-8,-81,7,Visual
147,-28,-79,19,Visual
148,20,-66,2,Visual
149,-24,-91,19,Visual
150,27,-59,-9,Visual
151,-15,-72,-8,Visual
152,-18,-68,5,Visual
153,43,-78,-12,Visual
154,-47,-76,-10,Visual
155,-14,-91,31,Visual
156,15,-87,37,Visual
157,29,-77,25,Visual
158,20,-86,-2,Visual
159,15,-77,31,Visual
160,-16,-52,-1,Visual
161,42,-66,-8,Visual
162,24,-87,24,Visual
163,6,-72,24,Visual
164,-42,-74,0,Visual
165,26,-79,-16,Visual
166,-16,-77,34,Visual
167,-3,-81,21,Visual
168,-40,-88,-6,Visual
169,37,-84,13,Visual
170,6,-81,6,Visual
171,-26,-90,3,Visual
172,-33,-79,-13,Visual
173,37,-81,1,Visual
174,-44,2,46,Fronto-parietal Task Control
175,48,25,27,Fronto-parietal Task Control
176,-47,11,23,Fronto-parietal Task Control
177,-53,-49,43,Fronto-parietal Task Control
178,-23,11,64,Fronto-parietal Task Control
179,58,-53,-14,Fronto-parietal Task Control
180,24,45,-15,Fronto-parietal Task Control
181,34,54,-13,Fronto-parietal Task Control
182,-21,41,-20,Uncertain
183,-18,-76,-24,Uncertain
184,17,-80,-34,Uncertain
185,35,-67,-34,Uncertain
186,47,10,33,Fronto-parietal Task Control
187,-41,6,33,Fronto-parietal Task Control
188,-42,38,21,Fronto-parietal Task Control
189,38,43,15,Fronto-parietal Task Control
190,49,-42,45,Fronto-parietal Task Control
191,-28,-58,48,Fronto-parietal Task Control
192,44,-53,47,Fronto-parietal Task Control
193,32,14,56,Fronto-parietal Task Control
194,37,-65,40,Fronto-parietal Task Control
195,-42,-55,45,Fronto-parietal Task Control
196,40,18,40,Fronto-parietal Task Control
197,-34,55,4,Fronto-parietal Task Control
198,-42,45,-2,Fronto-parietal Task Control
199,33,-53,44,Fronto-parietal Task Control
200,43,49,-2,Fronto-parietal Task Control
201,-42,25,30,Fronto-parietal Task Control
202,-3,26,44,Fronto-parietal Task Control
203,11,-39,50,Salience
204,55,-45,37,Salience
205,42,0,47,Salience
206,31,33,26,Salience
207,48,22,10,Salience
208,-35,20,0,Salience
209,36,22,3,Salience
210,37,32,-2,Salience
211,34,16,-8,Salience
212,-11,26,25,Salience
213,-1,15,44,Salience
214,-28,52,21,Salience
215,0,30,27,Salience
216,5,23,37,Salience
217,10,22,27,Salience
218,31,56,14,Salience
219,26,50,27,Salience
220,-39,51,17,Salience
221,2,-24,30,Memory retrieval?
222,6,-24,0,Subcortical
223,-2,-13,12,Subcortical
224,-10,-18,7,Subcortical
225,12,-17,8,Subcortical
226,-5,-28,-4,Subcortical
227,-22,7,-5,Subcortical
228,-15,4,8,Subcortical
229,31,-14,2,Subcortical
230,23,10,1,Subcortical
231,29,1,4,Subcortical
232,-31,-11,0,Subcortical
233,15,5,7,Subcortical
234,9,-4,6,Subcortical
235,54,-43,22,Ventral attention
236,-56,-50,10,Ventral attention
237,-55,-40,14,Ventral attention
238,52,-33,8,Ventral attention
239,51,-29,-4,Ventral attention
240,56,-46,11,Ventral attention
241,53,33,1,Ventral attention
242,-49,25,-1,Ventral attention
243,-16,-65,-20,Cerebellar
244,-32,-55,-25,Cerebellar
245,22,-58,-23,Cerebellar
246,1,-62,-18,Cerebellar
247,33,-12,-34,Uncertain
248,-31,-10,-36,Uncertain
249,49,-3,-38,Uncertain
250,-50,-7,-39,Uncertain
251,10,-62,61,Dorsal attention
252,-52,-63,5,Dorsal attention
253,-47,-51,-21,Uncertain
254,46,-47,-17,Uncertain
255,47,-30,49,Sensory/somatomotor Hand
256,22,-65,48,Dorsal attention
257,46,-59,4,Dorsal attention
258,25,-58,60,Dorsal attention
259,-33,-46,47,Dorsal attention
260,-27,-71,37,Dorsal attention
261,-32,-1,54,Dorsal attention
262,-42,-60,-9,Dorsal attention
263,-17,-59,64,Dorsal attention
264,29,-5,54,Dorsal attention