,score,num_features,feature,region,boot_n
0,0.5361933771324778,0,topic59,0,0
1,0.5463218263728085,1,topic39,0,0
2,0.5554717577302813,2,topic50,0,0
3,0.5640520377388929,3,topic15,0,0
4,0.569973800047545,4,topic29,0,0
5,0.57480889537766,5,topic44,0,0
6,0.576907393258743,6,topic32,0,0
7,0.5794900257533128,7,topic10,0,0
8,0.5825620277914105,8,topic7,0,0
9,0.5847095521592617,9,topic58,0,0
10,0.5884999444571879,10,topic12,0,0
11,0.5922919435152665,11,topic6,0,0
12,0.5926999717191657,12,topic40,0,0
13,0.595688923732341,13,topic48,0,0
14,0.5972169377191037,14,topic9,0,0
15,0.5975927107096707,15,topic27,0,0
16,0.6008260069787525,16,topic19,0,0
17,0.6031986663974311,17,topic23,0,0
18,0.6040857019945562,18,topic5,0,0
19,0.6047947299988501,19,topic37,0,0
20,0.6043024424499281,20,topic20,0,0
21,0.6034744026700797,21,topic35,0,0
22,0.6024079142846408,22,topic57,0,0
23,0.6004389256536234,23,topic30,0,0
24,0.5996491878971959,24,topic34,0,0
25,0.5988650620550391,25,topic11,0,0
26,0.5973903242615027,26,topic26,0,0
27,0.5933483837044313,27,topic1,0,0
28,0.590949134841581,28,topic53,0,0
29,0.5890693654265391,29,topic49,0,0
30,0.5868371551408331,30,topic38,0,0
31,0.5839453102709058,31,topic4,0,0
32,0.5794707095696842,32,topic2,0,0
33,0.5598548042851073,0,topic23,1,0
34,0.5722131789361453,1,topic35,1,0
35,0.5869112798043425,2,topic58,1,0
36,0.5966443864965145,3,topic10,1,0
37,0.6027717953161262,4,topic27,1,0
38,0.6058276653100754,5,topic48,1,0
39,0.6102541829516832,6,topic12,1,0
40,0.613371655943185,7,topic11,1,0
41,0.6206313935295894,8,topic2,1,0
42,0.622998194276679,9,topic6,1,0
43,0.627658985827681,10,topic53,1,0
44,0.6300712240037486,11,topic40,1,0
45,0.6320482485624421,12,topic34,1,0
46,0.6332710623468298,13,topic29,1,0
47,0.6343378875431673,14,topic50,1,0
48,0.6379336775929175,15,topic59,1,0
49,0.6359951927846315,16,topic5,1,0
50,0.6357367715009012,17,topic4,1,0
51,0.6393468717372895,18,topic32,1,0
52,0.6367773245532622,19,topic26,1,0
53,0.6407908356935874,20,topic37,1,0
54,0.6378491939719542,21,topic9,1,0
55,0.6389442354219534,22,topic38,1,0
56,0.6352943151280758,23,topic1,1,0
57,0.6287701799751366,24,topic49,1,0
58,0.6229312343137228,25,topic57,1,0
59,0.6215585536383423,26,topic15,1,0
60,0.6214495490457131,27,topic39,1,0
61,0.6199666230506418,28,topic44,1,0
62,0.6165879602215223,29,topic20,1,0
63,0.6161396985558405,30,topic7,1,0
64,0.6150877080803545,31,topic19,1,0
65,0.6117360874092759,32,topic30,1,0
66,0.5635728888307786,0,topic15,2,0
67,0.5772808410871229,1,topic37,2,0
68,0.5877422971840625,2,topic57,2,0
69,0.5954292737742037,3,topic39,2,0
70,0.599747414156553,4,topic59,2,0
71,0.6022523578127793,5,topic49,2,0
72,0.6097776281148909,6,topic53,2,0
73,0.6154274105098494,7,topic44,2,0
74,0.6179081928342269,8,topic4,2,0
75,0.6197687760034336,9,topic38,2,0
76,0.6211130880665249,10,topic50,2,0
77,0.623095745837953,11,topic1,2,0
78,0.6244567612136258,12,topic48,2,0
79,0.6247421057562189,13,topic6,2,0
80,0.6242650664419033,14,topic5,2,0
81,0.6274628173707981,15,topic9,2,0
82,0.6284963233857443,16,topic27,2,0
83,0.62863335097793,17,topic23,2,0
84,0.6283273343941875,18,topic30,2,0
85,0.6276838192651998,19,topic11,2,0
86,0.6278340987872608,20,topic40,2,0
87,0.6262203626663163,21,topic29,2,0
88,0.6250753863542963,22,topic26,2,0
89,0.6269223290183408,23,topic10,2,0
90,0.6261818122173964,24,topic58,2,0
91,0.6283045936296656,25,topic32,2,0
92,0.6281885082092327,26,topic19,2,0
93,0.6290021714036732,27,topic20,2,0
94,0.6287418874802464,28,topic12,2,0
95,0.6265930713020704,29,topic35,2,0
96,0.6261883662825889,30,topic2,2,0
97,0.6259457182002972,31,topic34,2,0
98,0.6235634622817141,32,topic7,2,0
99,0.5195446920290852,0,topic23,3,0
100,0.5321823476713843,1,topic58,3,0
101,0.5533480781849675,2,topic35,3,0
102,0.5701158723294519,3,topic15,3,0
103,0.5761655301810507,4,topic10,3,0
104,0.586973481178169,5,topic38,3,0
105,0.5913064097930021,6,topic50,3,0
106,0.5935503035904679,7,topic39,3,0
107,0.5961176488565674,8,topic37,3,0
108,0.5992282593924604,9,topic59,3,0
109,0.6020006112624787,10,topic5,3,0
110,0.6037533538016282,11,topic40,3,0
111,0.6034420714225208,12,topic44,3,0
112,0.6039544001234582,13,topic9,3,0
113,0.6091867392430556,14,topic30,3,0
114,0.609138830994294,15,topic53,3,0
115,0.6059037266459255,16,topic27,3,0
116,0.6079474871615574,17,topic4,3,0
117,0.6181576736470964,18,topic32,3,0
118,0.6184557805123376,19,topic48,3,0
119,0.6136025552467697,20,topic57,3,0
120,0.6168907781817603,21,topic11,3,0
121,0.6167655470028072,22,topic26,3,0
122,0.6114605641096355,23,topic6,3,0
123,0.6158046269582826,24,topic1,3,0
124,0.6148859966148785,25,topic20,3,0
125,0.6133537137082181,26,topic29,3,0
126,0.6162069650825693,27,topic2,3,0
127,0.6145163048713091,28,topic34,3,0
128,0.6148372989910319,29,topic12,3,0
129,0.6134140182663327,30,topic7,3,0
130,0.6144099872580854,31,topic49,3,0
131,0.6123788123631374,32,topic19,3,0
132,0.5213051624426209,0,topic39,4,0
133,0.5384904979658814,1,topic57,4,0
134,0.5495818836178069,2,topic48,4,0
135,0.5571587690241065,3,topic4,4,0
136,0.565153853018214,4,topic59,4,0
137,0.5719522865939276,5,topic40,4,0
138,0.5756751585876773,6,topic30,4,0
139,0.5802491765041382,7,topic53,4,0
140,0.5855235578482488,8,topic38,4,0
141,0.588160998750725,9,topic37,4,0
142,0.5910711528887508,10,topic27,4,0
143,0.5936208546941242,11,topic58,4,0
144,0.5983527156072996,12,topic5,4,0
145,0.5996336030821405,13,topic23,4,0
146,0.6014888754218108,14,topic6,4,0
147,0.6024713198364009,15,topic44,4,0
148,0.6035466827156661,16,topic29,4,0
149,0.6040140796714444,17,topic32,4,0
150,0.605459659545371,18,topic19,4,0
151,0.6066983025147376,19,topic15,4,0
152,0.6083397141657242,20,topic7,4,0
153,0.6085566221142845,21,topic35,4,0
154,0.60798620967258,22,topic20,4,0
155,0.6075057210486267,23,topic9,4,0
156,0.6082365211070495,24,topic11,4,0
157,0.6085348897855474,25,topic26,4,0
158,0.6100977331799795,26,topic2,4,0
159,0.6085479596849227,27,topic49,4,0
160,0.6077616110478705,28,topic10,4,0
161,0.6070706308657489,29,topic12,4,0
162,0.6064053203515831,30,topic34,4,0
163,0.6050367311501298,31,topic1,4,0
164,0.603021232003223,32,topic50,4,0
165,0.5915395385504081,0,topic15,5,0
166,0.6064485928616363,1,topic59,5,0
167,0.60997330087004,2,topic50,5,0
168,0.6147620570174919,3,topic20,5,0
169,0.618717408119582,4,topic10,5,0
170,0.6235104298962995,5,topic49,5,0
171,0.6267478570467702,6,topic9,5,0
172,0.628415841731059,7,topic27,5,0
173,0.6290868437607569,8,topic53,5,0
174,0.629615225403269,9,topic30,5,0
175,0.6302292905553775,10,topic32,5,0
176,0.6314258304747435,11,topic40,5,0
177,0.6311347167325427,12,topic1,5,0
178,0.6318077588458023,13,topic7,5,0
179,0.631594168278951,14,topic48,5,0
180,0.6319872861992427,15,topic19,5,0
181,0.6342236505279983,16,topic58,5,0
182,0.6358908315430054,17,topic57,5,0
183,0.6371997615204137,18,topic5,5,0
184,0.6364592111874722,19,topic4,5,0
185,0.6355299222147048,20,topic35,5,0
186,0.6364614367331759,21,topic23,5,0
187,0.6386421005986224,22,topic38,5,0
188,0.6387624655287698,23,topic26,5,0
189,0.6380953582040538,24,topic11,5,0
190,0.6369816580414407,25,topic29,5,0
191,0.6353210300221169,26,topic39,5,0
192,0.6333804778098256,27,topic2,5,0
193,0.6309813395411221,28,topic12,5,0
194,0.6292709458470329,29,topic37,5,0
195,0.6273953053844358,30,topic44,5,0
196,0.6250518675790414,31,topic34,5,0
197,0.6108994369863935,32,topic6,5,0
198,0.5140118291579883,0,topic59,6,0
199,0.5255950048644678,1,topic29,6,0
200,0.5365259596712278,2,topic50,6,0
201,0.5441632248377072,3,topic4,6,0
202,0.5528558630598098,4,topic39,6,0
203,0.5611994784720337,5,topic44,6,0
204,0.5652785913010897,6,topic30,6,0
205,0.5674983318354025,7,topic5,6,0
206,0.5693708750648944,8,topic6,6,0
207,0.56996445009104,9,topic58,6,0
208,0.5701956295899103,10,topic57,6,0
209,0.5709882153523885,11,topic11,6,0
210,0.5707105352383215,12,topic23,6,0
211,0.5727771307833952,13,topic49,6,0
212,0.5769332798633751,14,topic34,6,0
213,0.5776611010670971,15,topic10,6,0
214,0.5822096762283935,16,topic35,6,0
215,0.584653991956988,17,topic2,6,0
216,0.5875300307813378,18,topic7,6,0
217,0.589753122976008,19,topic15,6,0
218,0.5905141668886673,20,topic32,6,0
219,0.5911627705034196,21,topic19,6,0
220,0.5923177289782667,22,topic40,6,0
221,0.5949481185104006,23,topic20,6,0
222,0.6007269470490146,24,topic37,6,0
223,0.5998881512133503,25,topic48,6,0
224,0.5986477038630266,26,topic27,6,0
225,0.5973532946275233,27,topic53,6,0
226,0.5954622574017966,28,topic26,6,0
227,0.5945789700264928,29,topic9,6,0
228,0.5938070480914001,30,topic1,6,0
229,0.5890908204730905,31,topic38,6,0
230,0.5889924498979195,32,topic12,6,0
231,0.5339234598192253,0,topic29,7,0
232,0.5579379159860753,1,topic23,7,0
233,0.5745877263660009,2,topic50,7,0
234,0.5857915856542856,3,topic4,7,0
235,0.5945142887585695,4,topic2,7,0
236,0.6052072945466439,5,topic35,7,0
237,0.619083725510322,6,topic15,7,0
238,0.6240754081116553,7,topic39,7,0
239,0.6330361645063183,8,topic11,7,0
240,0.6372114174742763,9,topic57,7,0
241,0.6374078851376972,10,topic32,7,0
242,0.6481072718976097,11,topic58,7,0
243,0.6470685227834307,12,topic38,7,0
244,0.6466194123592237,13,topic10,7,0
245,0.6461213276345652,14,topic49,7,0
246,0.6463314795448725,15,topic53,7,0
247,0.6485379738329325,16,topic59,7,0
248,0.6505594472651892,17,topic37,7,0
249,0.6509521605560731,18,topic40,7,0
250,0.6491493242236557,19,topic30,7,0
251,0.6523540341077838,20,topic9,7,0
252,0.6527288752120204,21,topic1,7,0
253,0.6506254261040829,22,topic44,7,0
254,0.6506964639468805,23,topic48,7,0
255,0.6483070837641514,24,topic7,7,0
256,0.6487970966277533,25,topic27,7,0
257,0.6516540982017083,26,topic6,7,0
258,0.6507726940151566,27,topic34,7,0
259,0.6514925994936979,28,topic5,7,0
260,0.652057844971734,29,topic12,7,0
261,0.6526888404208304,30,topic19,7,0
262,0.6528243062667538,31,topic20,7,0
263,0.6507779887187697,32,topic26,7,0
264,0.5253878749932218,0,topic57,8,0
265,0.5426220363413499,1,topic15,8,0
266,0.5570145690754255,2,topic39,8,0
267,0.568712942050314,3,topic32,8,0
268,0.5748262411079206,4,topic59,8,0
269,0.5794144121990312,5,topic38,8,0
270,0.584263116014129,6,topic53,8,0
271,0.5907883953083365,7,topic37,8,0
272,0.5948871568171242,8,topic20,8,0
273,0.5963419363137326,9,topic26,8,0
274,0.601187991893879,10,topic58,8,0
275,0.6020465149858572,11,topic30,8,0
276,0.6025914996702316,12,topic49,8,0
277,0.6057884898881561,13,topic29,8,0
278,0.6072713123013035,14,topic19,8,0
279,0.6078030778795457,15,topic27,8,0
280,0.6087606544166884,16,topic1,8,0
281,0.6098880143408227,17,topic48,8,0
282,0.6114459993366802,18,topic34,8,0
283,0.6115557245381668,19,topic9,8,0
284,0.6112827860944966,20,topic11,8,0
285,0.6114612046190261,21,topic10,8,0
286,0.6113918492372452,22,topic4,8,0
287,0.6112686747853984,23,topic7,8,0
288,0.6119339555424406,24,topic23,8,0
289,0.6111596620852201,25,topic2,8,0
290,0.6121437272771983,26,topic6,8,0
291,0.6114688182945115,27,topic35,8,0
292,0.6114039964387545,28,topic50,8,0
293,0.6108881486441667,29,topic40,8,0
294,0.6112366311424864,30,topic12,8,0
295,0.6098370957185607,31,topic44,8,0
296,0.607358593711577,32,topic5,8,0
